page,zip,city,current_page_claim_RC2_mph,VERIFIED_RC2_mph,notes
virginia,23451,Virginia Beach (oceanfront),115-130,,engine wrongly returns flat 150
virginia,23452,Virginia Beach,115-130,,
virginia,23507,Norfolk,115-130,,
virginia,23510,Norfolk (downtown),115-130,,
virginia,23320,Chesapeake,,,
virginia,23310,Cape Charles (Eastern Shore),120-135,,
virginia,23336,Chincoteague (barrier island),120-135,,
virginia,23219,Richmond,~115,,
virginia,23220,Richmond,~115,,
virginia,22201,Arlington (NoVA),~110,,engine wrongly returns flat 150
virginia,22030,Fairfax,~110,,
virginia,22801,Harrisonburg (Shenandoah),,,
virginia,24011,Roanoke,,,
virginia,24210,Abingdon (SW),,,
virginia,24293,Wise/Coeburn (far SW mtns),95-105,,
south-carolina,29401,Charleston (peninsula),140-150,,
south-carolina,29403,Charleston,140-150,,
south-carolina,29601,Greenville (Upstate),~115,,ADD if page should cover Upstate
south-carolina,29902,Beaufort,,,ADD (coastal)
south-carolina,29572,Myrtle Beach (Horry),,,ADD (Grand Strand)
south-carolina,29440,Georgetown,,,ADD
california,90015,Los Angeles,95-105,,
california,90210,Beverly Hills,,,
california,92101,San Diego,95-105,,
california,94102,San Francisco,95-110,,
california,94110,San Francisco,95-110,,
california,94612,Oakland,,,
california,95110,San Jose,,,
california,95814,Sacramento,,,
california,93001,Ventura (coast),,,
california,92262,Palm Springs (SWR — wind!),110-125,,special wind region
california,93561,Tehachapi (SWR — wind!),110-125,,special wind region
california,93501,Mojave (SWR — wind!),110-125,,special wind region
california,92344,Hesperia (high desert),,,
california,92392,Victorville (high desert),,,
california,94550,Livermore (Altamont — wind!),110-125,,special wind region
california,95376,Tracy (Altamont — wind!),110-125,,special wind region
